13517800000: 135178: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 0000108c addi                a1, a1, 64        a1=000010c8  a1:00001088 
13517800000: 135178: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 0000108c addi                a1, a1, 64        a1=000010c8  a1:00001088 
13517900000: 135179: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001090 lui                 t1, 0x1000        t1=00001000 
13517900000: 135179: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001090 lui                 t1, 0x1000        t1=00001000 
13518000000: 135180: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001094 addi                t1, t1, -2048     t1=00000800  t1:00001000 
13518000000: 135180: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001094 addi                t1, t1, -2048     t1=00000800  t1:00001000 
13518100000: 135181: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 00001098 csrrw               0, t1, mie        t1:00000800 
13518100000: 135181: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 00001098 csrrw               0, t1, mie        t1:00000800 
13518200000: 135182: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 0000109c wfi                                  
13518200000: 135182: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 0000109c wfi                                  
13518300000: 135183: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010a0 lw                  t2, 24(a1)        t2=00100000  a1:000010c8  PA:000010e0 
13518400000: 135184: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010a0 lw                  t2, 24(a1)        t2=00100000  a1:000010c8  PA:000010e0 
13518500000: 135185: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010a4 lw                  t3, 32(a1)        t3=00020000  a1:000010c8  PA:000010e8 
13518500000: 135185: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010a8 add                 t2, t2, t3        t2=00120000  t2:00100000  t3:00020000 
13518600000: 135186: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010ac addi                t2, t2, 88        t2=00120058  t2:00120000 
13518600000: 135186: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010a4 lw                  t3, 32(a1)        t3=00020000  a1:000010c8  PA:000010e8 
13518600000: 135186: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010a8 add                 t2, t2, t3        t2=00120000  t2:00100000  t3:00020000 
13518700000: 135187: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010b0 addi                t2, t2, 0         t2=00120058  t2:00120058 
13518700000: 135187: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010ac addi                t2, t2, 88        t2=00120058  t2:00120000 
13518800000: 135188: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010b0 addi                t2, t2, 0         t2=00120058  t2:00120058 
13519900000: 135199: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010b4 lw                  t2, 0(t2)         t2=80000000  t2:00120058  PA:00120058 
13519900000: 135199: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 000010b8 jalr                0, t2, 0          t2:80000000 
13520000000: 135200: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000000 csrrs               t0, 0, misa       t0=4004112d 
13520000000: 135200: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010b4 lw                  t2, 0(t2)         t2=80000000  t2:00120058  PA:00120058 
13520000000: 135200: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 000010b8 jalr                0, t2, 0          t2:80000000 
13520100000: 135201: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000004 andi                t0, t0, 40        t0=00000028  t0:4004112d 
13520100000: 135201: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000000 csrrs               t0, 0, misa       t0=4004112d 
13520200000: 135202: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000008 beq                 t0, 0, 132        t0:00000028 
13520200000: 135202: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000004 andi                t0, t0, 40        t0=00000028  t0:4004112d 
13520300000: 135203: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 8000000c fcvt.d.w            f0, 0, 0x0        f0=0.000000 
13520300000: 135203: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000008 beq                 t0, 0, 132        t0:00000028 
13520400000: 135204: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000010 fcvt.d.w            f1, 0, 0x0        f1=0.000000 
13520400000: 135204: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 8000000c fcvt.d.w            f0, 0, 0x0        f0=0.000000 
13520500000: 135205: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000014 fcvt.d.w            f2, 0, 0x0        f2=0.000000 
13520500000: 135205: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000010 fcvt.d.w            f1, 0, 0x0        f1=0.000000 
13520600000: 135206: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000018 fcvt.d.w            f3, 0, 0x0        f3=0.000000 
13520600000: 135206: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000014 fcvt.d.w            f2, 0, 0x0        f2=0.000000 
13520700000: 135207: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 8000001c fcvt.d.w            f4, 0, 0x0        f4=0.000000 
13520700000: 135207: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000018 fcvt.d.w            f3, 0, 0x0        f3=0.000000 
13520800000: 135208: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000020 fcvt.d.w            f5, 0, 0x0        f5=0.000000 
13520800000: 135208: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 8000001c fcvt.d.w            f4, 0, 0x0        f4=0.000000 
13520900000: 135209: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000024 fcvt.d.w            f6, 0, 0x0        f6=0.000000 
13520900000: 135209: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000020 fcvt.d.w            f5, 0, 0x0        f5=0.000000 
13521000000: 135210: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 80000028 fcvt.d.w            f7, 0, 0x0        f7=0.000000 
13521000000: 135210: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000024 fcvt.d.w            f6, 0, 0x0        f6=0.000000 
13521100000: 135211: [[34m/chip/soc/cluster_0/pe0/insn                                             [0m] -:0                              M 8000002c fcvt.d.w            f8, 0, 0x0        f8=0.000000 
13521100000: 135211: [[34m/chip/soc/cluster_0/pe1/insn                                             [0m] -:0                              M 80000028 fcvt.d.w            f7, 0, 0x0        f7=0.000000 
